pid,survey.date,content,energy,lonely,refreshed,restful,sad,sleep,stress
121f7uao,2018-10-24,1.0,1.0,0.0,3.0,2.0,0.0,,2.0
121f7uao,2018-10-25,2.0,2.0,0.0,1.0,1.0,1.0,11.0,1.0
121f7uao,2018-10-26,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
121f7uao,2018-10-27,,,,3.0,3.0,,12.0,
121f7uao,2018-10-28,1.0,1.0,0.0,2.0,3.0,2.0,,0.0
121f7uao,2018-10-29,2.0,1.0,0.0,1.0,1.0,2.0,7.0,1.0
121f7uao,2018-10-30,0.0,0.0,3.0,1.0,1.0,3.0,2.0,3.0
121f7uao,2018-10-31,,,,3.0,3.0,,4.0,
13al1wr7,2018-10-10,2.0,2.0,0.0,,,1.0,,1.0
13al1wr7,2018-10-11,1.0,2.0,0.0,2.0,3.0,2.0,5.0,3.0
13al1wr7,2018-10-12,1.0,1.0,1.0,0.0,1.0,2.0,4.0,3.0
13al1wr7,2018-10-13,,,,1.0,2.0,,8.0,
13al1wr7,2018-10-14,2.0,3.0,0.0,1.0,2.0,1.0,12.0,3.0
13al1wr7,2018-10-15,2.0,1.0,0.0,1.0,1.0,0.0,,1.0
13al1wr7,2018-10-16,2.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0
13al1wr7,2018-10-17,1.0,0.0,0.0,2.0,2.0,3.0,7.0,3.0
13al1wr7,2018-10-18,3.0,3.0,0.0,2.0,1.0,3.0,6.0,0.0
13al1wr7,2018-10-19,,,,2.0,3.0,,12.0,
13al1wr7,2018-10-20,1.0,1.0,0.0,2.0,2.0,1.0,12.0,2.0
13al1wr7,2018-10-21,0.0,1.0,0.0,2.0,2.0,3.0,4.0,3.0
13al1wr7,2018-10-22,,,,2.0,0.0,,0.0,
13al1wr7,2018-10-23,1.0,1.0,0.0,2.0,2.0,0.0,,0.0
13al1wr7,2018-10-24,1.0,1.0,0.0,3.0,2.0,0.0,,2.0
13al1wr7,2018-10-25,2.0,2.0,0.0,1.0,1.0,1.0,11.0,1.0
13al1wr7,2018-10-26,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
13al1wr7,2018-10-27,,,,3.0,3.0,,12.0,
13al1wr7,2018-10-28,1.0,1.0,0.0,2.0,3.0,2.0,,0.0
13al1wr7,2018-10-29,2.0,1.0,0.0,1.0,1.0,2.0,7.0,1.0
13al1wr7,2018-10-30,0.0,0.0,3.0,1.0,1.0,3.0,2.0,3.0
13al1wr7,2018-10-31,,,,3.0,3.0,,4.0,
158hmxr8,2018-10-10,2.0,2.0,0.0,,,1.0,,1.0
158hmxr8,2018-10-11,1.0,2.0,0.0,2.0,3.0,2.0,5.0,3.0
158hmxr8,2018-10-12,1.0,1.0,1.0,0.0,1.0,2.0,4.0,3.0
158hmxr8,2018-10-13,,,,1.0,2.0,,8.0,
158hmxr8,2018-10-14,2.0,3.0,0.0,1.0,2.0,1.0,12.0,3.0
158hmxr8,2018-10-15,2.0,1.0,0.0,1.0,1.0,0.0,,1.0
158hmxr8,2018-10-16,2.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0
158hmxr8,2018-10-17,1.0,0.0,0.0,2.0,2.0,3.0,7.0,3.0
158hmxr8,2018-10-18,3.0,3.0,0.0,2.0,1.0,3.0,6.0,0.0
158hmxr8,2018-10-19,,,,2.0,3.0,,12.0,
158hmxr8,2018-10-20,1.0,1.0,0.0,2.0,2.0,1.0,12.0,2.0
